Museum,Voucher,Pooled sample,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT,GM
MZUSP,12833,Serra do Mar,49.5,28.3,16,16.9422954265028,20.8421017611565,15.2,6.8,12.8,7.6,10.8,25.6,17.7,8,15.55284623
MZUSP,12845,Serra do Mar,48.525881355726,27.7649908193845,16.2,17.8,21.387761955863,14.6,6.7,12.5,7.7,10.8,24.6,16.9453801104019,7.9,15.41819786
FMNH,94360,Serra do Mar,47.8,28.1,17.2,17.1,21.3,14.6,6.87370498251595,12.6,7.2,10.6,25.9,16.7,7.5,15.35342498
FMNH,94361,Serra do Mar,50.6,28.8,16,17,21.2,15,6.50918781756517,13.3,7.6,10.8291043096309,26.7,17.7,7.71711400725219,15.6128351
FMNH,94362,Serra do Mar,48.4,27.9,15.7,16.5,21.4,15.1,6.57715069354433,12.7,7.3,10.7,25.4,16.7,7.6,15.23279782
FMNH,94363,Serra do Mar,50.3,28.7,16.2,17.3,21.0334723357985,15.5,7.05921738753682,13.3,7.6,10.8,25.2,17.8,7.8,15.7120146
FMNH,94364,Serra do Mar,49.7,28.9,15.8,16.8,21.4,15.5,7.02110234177169,12.9,7.9,11.1,25.2,17.7,7.9,15.70616509
FMNH,94365,Serra do Mar,48.9,28.1,16.3,17.224240801952,21.3,15.2,6.84564835462631,12.6,7.6,10.7,25.8,16.9,7.9,15.51474973
MZUSP,12827,Serra do Mar,47.7,28.1,15.8,17.2,20.832043117003,14.2,6.4,12.3,7.5,10.8,25.4198068378835,17.1758460735742,7.58969997371802,15.18210409
MZUSP,12832,Serra do Mar,48.9,28.5,15.5701943488116,17.1,22,15.4,7.1,12.6825052514658,8,11.1,25.8,16.8,8.2,15.7175595
MZUSP,12831,Serra do Mar,47.5,28.3,15.7,17.4,21.4,14.6,7,12.4,7.7,10.9,24.3,17.3,8,15.43032208
MZUSP,12829,Serra do Mar,48.5,29,16.1,17.4530216768247,21.3,14.6,7.1,12.7,7.7,11.1,25.9,17.5,7.9,15.65477663
MZUSP,10455,Serra do Mar,46.8,26.9,14.9,17.8,21.599299393864,13.9,5.98987865515183,12.1,7.4,11.8,24.1,16.3,8,15.02788076
MZUSP,10634,Serra do Mar,50.8,29,16,17,21.3,16,6.8,13.2,7.9,10.8,26.6,18.2142168686072,8,15.87097253
MZUSP,10633,Serra do Mar,48.5,28.4,15.3,16.9,20.7,14.9,6.9,12.6,7.3,10.5,25.1,17.1,7.7,15.25318551
MZUSP,10457,Serra do Mar,50,29,15.9,17.6,21.9,14.8,7,13,7.8,11.3,25.6,18.4,8.2,15.87722475
MZUSP,10635,Serra do Mar,48.6,28.2,15.3,16.4,20.7636751897867,14.9,6.7,12.7,7.7,11.1,25.1,17.154432116661,7.8,15.3373331
MZUSP,10456,Serra do Mar,47.152618058227,25,15.3,17.2,20.5979033100757,14.3,6.4,11.4,7.3,10.7587032365607,23.3,16,7.5,14.67503665
MZUSP,10453,Serra do Mar,48.5,28.7,16.1120842087147,17.1022543115711,21.4548157731583,15.3,7,12,7.7,11.3119094159466,25.7,17.3,7.97864505736409,15.61005945
MZUSP,12835,Serra do Mar,48.8,28,15.6,17.3,21.6,15.4,6.5,12.7,7.5,10.9,25.6,17.2,7.6,15.41293598
FMNH,92999,Serra do Mar,49.8,28.8,16.3,17.6,21.8,15.3,6.8,12.9,7.6,11.2,26,17.5,7.8,15.73900977
FMNH,93000,Serra do Mar,50.3054110798356,29.7271547204886,16.9,18,21.9,15.7,7.3,13.5,7.9,11.1,26.5,18.1,7.8,16.14329041
FMNH,93001,Serra do Mar,47.7885529849244,28.8,16,17.1872989515069,20.5838890634169,14.9,6.4,12.4,7.3,10.9,25.116449622362,17.1338147687431,7.5,15.22698856
FMNH,93002,Serra do Mar,49.5,30.4,16.9,17.5,21.8,15.7,6.82549305941221,12.9,7.71607997156398,11.0654035638227,26.8,18,8,15.97673577
FMNH,93003,Serra do Mar,50.2,29,16.9,18.2,21.9,15.3,7,12.9,7.7,11,26.1,17.2,7.8,15.86024915
FMNH,93009,Serra do Mar,49.7,29,16.4,17.5,21.8,14.8,6.5,13.1,7.7,10.9,25.5,17.8,7.7,15.63398858
MZUSP,10308,Serra do Mar,49.8,28.1,16,17.4,21.5,16.1,6.8,12.9,7.5,10.5,26,17.2685832620622,7.8,15.60807946
MZUSP,13305,Serra do Mar,47.7,27.6,16,16.6,20.9,14.5,6.2,12.1,7.7,10.8,24.6,16.9,7.8,15.1119799
MZUSP,13303,Serra do Mar,49.1,28.1,15.3,17.6,21.6060245393738,14.5,5.9,12.1,7.8,11.1,25,17.1,7.9,15.25822705
MZUSP,13302,Serra do Mar,49.8,29.6,16,17.5,21.3,14.9,7,12.9,7.9,11.5,25.6,17.4,7.6,15.73943959
MZUSP,12849,Serra do Mar,48.9,27.3,15.3,17.5,21.3,14.4,6.27077621531718,12.6,7.5,10.9,24.6625495674621,16.6009014042303,7.7,15.15917686
MZUSP,12847,Serra do Mar,49.4,28.2,15.6,17.3,21.1,14.9,6.5,13.1,7.4,11.2,25.1,17.9,7.8,15.47684391
MZUSP,12848,Serra do Mar,49.8,28.7,16.3,17.4,21.4,14.9,7,12.7,7.8,10.6,26.6,18,7.9,15.72459083
MZUSP,12846,Serra do Mar,48.5,27.9872048077228,16,17.3,21.8209422200545,14.3,6.79455655158456,12.5,7.7,11.3,24.8827427137915,17.01049599366,8.1,15.49589716
MZUSP,2138,Interior,47.8,27,14.7,17.2,21.4,14.2,6.9,12.3,7.3,10.4,24.8,16.7,7.4,15.00707804
MZUSP,6563,Interior,47.2,26.5,14.9,16.7,20.7,14.3,6.2,12.2,7.3,10.3,24.8,16.7,7.3,14.76438477
MZUSP,291,Interior,47.1,27.2,15,17.2,20.8,15.1,6.9,12.3,7.5,10.6,25.2,16.3,7.7,15.15023017
BMNH,1.2.7.25,Interior,48.4,27.4,15.6,17.8,21.1,14.6,6.6,12.9,7.3,10.4,24.9,16,7.7,15.16802035
